country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1987,40.822,13867957,852.3959448
Albania,Europe,1987,72,3075321,3738.932735
Algeria,Africa,1987,65.799,23254956,5681.358539
Angola,Africa,1987,39.906,7874230,2430.208311
Argentina,Americas,1987,70.774,31620918,9139.671389
Australia,Oceania,1987,76.32,16257249,21888.88903
Austria,Europe,1987,74.94,7578903,23687.82607
Bahrain,Asia,1987,70.75,454612,18524.02406
Bangladesh,Asia,1987,52.819,103764241,751.9794035
Belgium,Europe,1987,75.35,9870200,22525.56308
Benin,Africa,1987,52.337,4243788,1225.85601
Bolivia,Americas,1987,57.251,6156369,2753.69149
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757
Botswana,Africa,1987,63.622,1151184,6205.88385
Brazil,Americas,1987,65.205,142938076,7807.095818
Bulgaria,Europe,1987,71.34,8971958,8239.854824
Burkina Faso,Africa,1987,49.557,7586551,912.0631417
Burundi,Africa,1987,48.211,5126023,621.8188189
Cambodia,Asia,1987,53.914,8371791,683.8955732
Cameroon,Africa,1987,54.985,10780667,2602.664206
Canada,Americas,1987,76.86,26549700,26626.51503
Central African Republic,Africa,1987,50.485,2840009,844.8763504
Chad,Africa,1987,51.051,5498955,952.386129
Chile,Americas,1987,72.492,12463354,5547.063754
China,Asia,1987,67.274,1084035000,1378.904018
Colombia,Americas,1987,67.768,30964245,4903.2191
Comoros,Africa,1987,54.926,395114,1315.980812
Congo, Dem. Rep.,Africa,1987,47.412,35481645,672.774812
Congo, Rep.,Africa,1987,57.47,2064095,4201.194937
Costa Rica,Americas,1987,74.752,2799811,5629.915318
Cote d'Ivoire,Africa,1987,54.655,10761098,2156.956069
Croatia,Europe,1987,71.52,4484310,13822.58394
Cuba,Americas,1987,74.174,10239839,7532.924763
Czech Republic,Europe,1987,71.58,10311597,16310.4434
Denmark,Europe,1987,74.8,5127024,25116.17581
Djibouti,Africa,1987,50.04,311025,2880.102568
Dominican Republic,Americas,1987,66.046,6655297,2899.842175
Ecuador,Americas,1987,67.231,9545158,6481.776993
Egypt,Africa,1987,59.797,52799062,3885.46071
El Salvador,Americas,1987,63.154,4842194,4140.442097
Equatorial Guinea,Africa,1987,45.664,341244,966.8968149
Eritrea,Africa,1987,46.453,2915959,521.1341333
Ethiopia,Africa,1987,46.684,42999530,573.7413142
