name,year,month,day,hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter
Alberto,2000,8,6,0,14.5,-33.2,hurricane,1,65,987,NA,NA
Alberto,2000,8,6,6,14.6,-34.4,hurricane,1,65,985,NA,NA
Alberto,2000,8,6,12,14.7,-35.4,hurricane,1,70,983,NA,NA
Alberto,2000,8,6,18,15.2,-36.6,hurricane,1,75,981,NA,NA
Alberto,2000,8,7,0,15.7,-38.1,hurricane,1,75,979,NA,NA
Alberto,2000,8,7,6,16,-39.6,hurricane,1,80,978,NA,NA
Alberto,2000,8,7,12,16.2,-41,hurricane,1,80,977,NA,NA
Alberto,2000,8,7,18,16.5,-42.2,hurricane,1,80,978,NA,NA
Alberto,2000,8,8,0,16.7,-43.6,hurricane,1,75,979,NA,NA
Alberto,2000,8,8,6,17,-44.9,hurricane,1,70,982,NA,NA
Alberto,2000,8,8,12,17.7,-45.7,hurricane,1,70,985,NA,NA
Alberto,2000,8,8,18,18.6,-46.5,hurricane,1,65,987,NA,NA
Alberto,2000,8,10,0,24.8,-52.6,hurricane,1,65,988,NA,NA
Alberto,2000,8,10,6,26.1,-54,hurricane,1,65,987,NA,NA
Alberto,2000,8,10,12,27.5,-55.3,hurricane,1,65,986,NA,NA
Alberto,2000,8,10,18,28.8,-56.7,hurricane,1,65,984,NA,NA
Alberto,2000,8,11,0,29.9,-57.7,hurricane,1,70,982,NA,NA
Alberto,2000,8,11,6,31.1,-58.4,hurricane,1,75,979,NA,NA
Alberto,2000,8,11,12,32.2,-58.6,hurricane,1,80,976,NA,NA
Alberto,2000,8,11,18,33.3,-58.5,hurricane,2,85,973,NA,NA
Alberto,2000,8,12,0,34.3,-58,hurricane,2,90,970,NA,NA
Alberto,2000,8,12,6,35.1,-56.7,hurricane,3,100,960,NA,NA
Alberto,2000,8,12,12,35.9,-55.3,hurricane,3,110,950,NA,NA
Alberto,2000,8,12,18,36.8,-53.8,hurricane,3,110,954,NA,NA
Alberto,2000,8,13,0,37.4,-52,hurricane,3,105,958,NA,NA
Alberto,2000,8,13,6,38,-50.3,hurricane,2,95,966,NA,NA
Alberto,2000,8,13,12,38.4,-48.3,hurricane,2,85,973,NA,NA
Alberto,2000,8,13,18,38.8,-46.3,hurricane,1,75,980,NA,NA
Alberto,2000,8,14,0,39,-44.2,hurricane,1,65,987,NA,NA
Alberto,2000,8,18,18,34.7,-48,hurricane,1,65,987,NA,NA
Alberto,2000,8,19,0,34.9,-48.1,hurricane,1,75,979,NA,NA
