wine_index,type,quality,attribute,value
1,white,5,fixed_acidity,7.3
1,white,5,volatile_acidity,0.25
1,white,5,citric_acid,0.26
1,white,5,residual_sugar,7.2
1,white,5,chlorides,0.048
1,white,5,free_sulfur_dioxide,52
1,white,5,total_sulfur_dioxide,207
1,white,5,density,0.99587
1,white,5,pH,3.12
1,white,5,sulphates,0.37
1,white,5,alcohol,9.2
2,white,5,fixed_acidity,6.4
2,white,5,volatile_acidity,0.18
2,white,5,citric_acid,0.48
2,white,5,residual_sugar,4
2,white,5,chlorides,0.186
2,white,5,free_sulfur_dioxide,64
2,white,5,total_sulfur_dioxide,150
2,white,5,density,0.9945
2,white,5,pH,3.06
2,white,5,sulphates,0.4
2,white,5,alcohol,9.3
3,white,7,fixed_acidity,7
3,white,7,volatile_acidity,0.25
3,white,7,citric_acid,0.45
3,white,7,residual_sugar,2.3
3,white,7,chlorides,0.045
3,white,7,free_sulfur_dioxide,40
3,white,7,total_sulfur_dioxide,118
3,white,7,density,0.99064
3,white,7,pH,3.16
3,white,7,sulphates,0.48
3,white,7,alcohol,11.9
4,red,5,fixed_acidity,8.1
4,red,5,volatile_acidity,0.575
4,red,5,citric_acid,0.22
4,red,5,residual_sugar,2.1
4,red,5,chlorides,0.077
4,red,5,free_sulfur_dioxide,12
4,red,5,total_sulfur_dioxide,65
4,red,5,density,0.9967
4,red,5,pH,3.29
4,red,5,sulphates,0.51
4,red,5,alcohol,9.2
5,white,6,fixed_acidity,5.7
5,white,6,volatile_acidity,0.385
5,white,6,citric_acid,0.04
5,white,6,residual_sugar,12.6
5,white,6,chlorides,0.034
5,white,6,free_sulfur_dioxide,22
5,white,6,total_sulfur_dioxide,115
5,white,6,density,0.9964
5,white,6,pH,3.28
5,white,6,sulphates,0.63
5,white,6,alcohol,9.9
6,white,7,fixed_acidity,5.9
6,white,7,volatile_acidity,0.37
6,white,7,citric_acid,0.32
6,white,7,residual_sugar,1.6
6,white,7,chlorides,0.029
6,white,7,free_sulfur_dioxide,41
6,white,7,total_sulfur_dioxide,102
6,white,7,density,0.98916
6,white,7,pH,3.41
6,white,7,sulphates,0.55
6,white,7,alcohol,12.7
7,white,6,fixed_acidity,6.6
7,white,6,volatile_acidity,0.22
7,white,6,citric_acid,0.29
7,white,6,residual_sugar,14.4
7,white,6,chlorides,0.046
7,white,6,free_sulfur_dioxide,39
7,white,6,total_sulfur_dioxide,118
7,white,6,density,0.99834
7,white,6,pH,3.05
