order,family,Genus,species,mass_g,gestation_mo,newborn_g,weaning_mo,wean_mass_g,AFR_mo,max_life_mo,litter_size,litters_per_year
Artiodactyla,Bovidae,Naemorhedus,crispus,3e4,7.15,3510.5,NA,NA,42,223,1,NA
Artiodactyla,Bovidae,Naemorhedus,sumatraensis,87500,7.5,NA,NA,NA,NA,NA,1,1
Artiodactyla,Bovidae,Naemorhedus,goral,27666.67,7.69,2e3,NA,NA,31.2,NA,1,1
Artiodactyla,Bovidae,Neotragus,batesi,2500,6,500,NA,NA,9.33,NA,NA,NA
Artiodactyla,Bovidae,Neotragus,moschatus,7166.67,6,NA,NA,NA,6.05,162,1,NA
Artiodactyla,Bovidae,Oreamnos,americanus,82350,5.78,3176.67,2.67,NA,29.99,230,1.32,1
Artiodactyla,Bovidae,Oreotragus,oreotragus,13e3,6.79,1065,4.5,NA,12,214,1,NA
Artiodactyla,Bovidae,Oryx,dammah,177500,8.22,10316.67,NA,NA,21.3,NA,1,NA
Artiodactyla,Bovidae,Oryx,leucoryx,121350,8,NA,4.5,NA,26.11,NA,1,1
Artiodactyla,Bovidae,Oryx,gazella,195e3,9.01,12015,NA,NA,25.02,240,1,1.33
Artiodactyla,Bovidae,Ourebia,ourebi,17500,6.95,2235,4.5,NA,12.62,190,1,1.53
Artiodactyla,Bovidae,Ovibos,moschatus,258e3,8.48,11077.4,6.21,NA,37.33,288,1.01,0.75
Artiodactyla,Bovidae,Ovis,nivicola,50500,NA,NA,NA,NA,24,NA,1,NA
Artiodactyla,Bovidae,Ovis,vignei,6e4,6,NA,NA,NA,NA,NA,1.5,NA
Artiodactyla,Bovidae,Ovis,dalli,57666.67,5.62,3500,4.33,NA,26.57,NA,1.18,0.75
Artiodactyla,Bovidae,Ovis,canadensis,68166.67,5.99,4266.67,4.86,28666.67,23.07,240,1.06,1
Artiodactyla,Bovidae,Ovis,ammon,18e4,5.61,2375,4.5,NA,11.67,NA,1.2,1
Artiodactyla,Bovidae,Ovis,aries,5e4,5.02,2277.08,6,17500,18.23,NA,1.35,1
Artiodactyla,Bovidae,Pantholops,hodgsonii,27500,7,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Pelea,capreolus,25e3,8.7,NA,NA,NA,NA,148,1,NA
Artiodactyla,Bovidae,Procapra,gutturosa,24e3,6.43,2900,NA,NA,17.5,84,1.33,NA
Artiodactyla,Bovidae,Pseudois,nayaur,46666.67,5.16,NA,6,NA,18.61,180,1.5,NA
Artiodactyla,Bovidae,Raphicerus,campestris,11333.33,6.53,936,3,NA,7.5,NA,1,NA
Artiodactyla,Bovidae,Redunca,arundinum,48850,7.32,4500,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Redunca,redunca,4e4,7.5,NA,NA,NA,120,216,1,NA
Artiodactyla,Bovidae,Redunca,fulvorufula,3e4,7.57,2600,NA,NA,12.96,144,1,1.09
Artiodactyla,Bovidae,Rupicapra,rupicapra,26100,5.83,2652.86,3.7,NA,30.55,NA,1,0.94
Artiodactyla,Bovidae,Saiga,tatarica,38250,4.94,3365.33,2.92,14500,9.15,144,1.65,1
Artiodactyla,Bovidae,Sigmoceros,lichtensteinii,153e3,7.76,15e3,NA,NA,16.58,NA,1,NA
Artiodactyla,Bovidae,Sylvicapra,grimmia,19e3,5.08,1202.86,NA,NA,9.9,172,1.01,1.38
Artiodactyla,Bovidae,Syncerus,caffer,504666.67,11.03,42862.5,9.18,166e3,47.92,354,1.08,0.4
Artiodactyla,Bovidae,Taurotragus,derbianus,68e4,8.67,NA,NA,NA,36.4,NA,1,NA
Artiodactyla,Bovidae,Taurotragus,oryx,432500,8.64,28325,6,NA,26.99,282,1,NA
Artiodactyla,Bovidae,Tetracerus,quadricornis,19e3,7.34,1033,NA,NA,13.2,130,1.57,NA
Artiodactyla,Bovidae,Tragelaphus,buxtoni,218e3,NA,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Tragelaphus,eurycerus,186250,9.57,19240,NA,NA,27.94,233,1,0.73
Artiodactyla,Bovidae,Tragelaphus,spekii,87500,8.13,4e3,NA,NA,13.17,258,1,1
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,19e4,7.41,16150,6,NA,18.4,267,1,1
Artiodactyla,Bovidae,Tragelaphus,angasii,100666.67,7.37,5232.5,7,NA,14.85,192,1,1.21
Artiodactyla,Bovidae,Tragelaphus,imberbis,64500,8.01,5760,NA,NA,25.89,NA,1,1.33
Artiodactyla,Bovidae,Tragelaphus,scriptus,36250,6.17,3800,NA,NA,16.32,144,1,1.5
Artiodactyla,Camelidae,Camelus,bactrianus,NA,13.18,35e3,10.5,NA,42,NA,1,0.5
Artiodactyla,Camelidae,Camelus,dromedarius,434e3,12.64,35808.46,14.63,253484,46.3,480,1,0.65
Artiodactyla,Camelidae,Lama,glama,142500,11.01,12e3,5,NA,NA,NA,1,NA
Artiodactyla,Camelidae,Lama,pacos,6e4,10.79,7584,7,NA,16,NA,1,NA
Artiodactyla,Camelidae,Lama,guanicoe,11e4,11.25,11666.67,11.33,NA,18,340,1,0.5
Artiodactyla,Camelidae,Vicugna,vicugna,5e4,11.55,5841.67,7,NA,22.75,344,1,0.67
Artiodactyla,Cervidae,Alces,alces,351e3,7.95,13018.18,3.8,94e3,23.38,324,1.29,0.77
Artiodactyla,Cervidae,Axis,porcinus,33500,7.45,2365,6,NA,10,240,1.01,NA
Artiodactyla,Cervidae,Axis,axis,55e3,7.72,3378.5,4,NA,12.64,249,1.03,NA
Artiodactyla,Cervidae,Blastocerus,dichotomus,102500,8.89,4200,NA,NA,NA,NA,1,1
Artiodactyla,Cervidae,Capreolus,capreolus,21666.67,6.54,1214.33,3.08,8692.5,15.41,180,1.78,NA
Artiodactyla,Cervidae,Capreolus,pygargus,39450,9.67,1750,4.5,28750,NA,NA,2,1
Artiodactyla,Cervidae,Cervus,duvaucelii,143e3,8.21,NA,NA,NA,36,276,1,NA
Artiodactyla,Cervidae,Cervus,elaphus,120333.33,8.03,8814.09,5.37,46900,28.36,324,1.07,0.91
Artiodactyla,Cervidae,Cervus,albirostris,125e3,8.33,NA,NA,NA,24,228,1,1
Artiodactyla,Cervidae,Cervus,timorensis,53e3,8.49,NA,7.5,NA,17.71,253,1,1
Artiodactyla,Cervidae,Cervus,unicolor,171e3,8.2,9890,7,NA,23.23,317,1,1
Artiodactyla,Cervidae,Cervus,eldii,73e3,7.37,5008,7.88,NA,18.78,235,1.01,1
Artiodactyla,Cervidae,Cervus,nippon,96500,7.59,3734,5.67,28590,22.12,305,1.02,1
Artiodactyla,Cervidae,Dama,dama,54500,7.75,4511.17,6.01,22570,18.55,300,1.14,1
Artiodactyla,Cervidae,Elaphodus,cephalophus,33500,6.5,NA,NA,NA,18,144,1,NA
Artiodactyla,Cervidae,Elaphurus,davidianus,149e3,9.41,11412.5,5.5,NA,27,279,1.11,1
Artiodactyla,Cervidae,Hippocamelus,bisulcus,7e4,6.5,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Cervidae,Hippocamelus,antisensis,68600,8,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Cervidae,Hydropotes,inermis,14e3,6.25,1028.33,NA,NA,7,167,3.32,NA
Artiodactyla,Cervidae,Mazama,rufina,8200,7.25,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Cervidae,Mazama,gouazoupira,16650,7.42,792.33,NA,NA,20.5,NA,1,NA
Artiodactyla,Cervidae,Mazama,americana,23e3,7.43,542.5,6,NA,12,166,1,1
Artiodactyla,Cervidae,Muntiacus,muntjak,14e3,6.12,1310.8,2,NA,8.67,204,1.33,NA
Artiodactyla,Cervidae,Muntiacus,reevesi,12e3,6.86,1096.67,NA,NA,6,236,1,1.5
Artiodactyla,Cervidae,Odocoileus,hemionus,55766.67,6.85,2952.67,2.48,19516.67,14.24,264,1.62,0.97
Artiodactyla,Cervidae,Odocoileus,virginianus,59500,6.84,3154.67,4.29,33631.33,9.09,276,1.71,1
Artiodactyla,Cervidae,Ozotoceros,bezoarticus,35e3,7.25,2150,5.5,NA,12,253,1,1
Artiodactyla,Cervidae,Pudu,mephistophiles,9750,NA,400,NA,NA,NA,NA,1,NA
Artiodactyla,Cervidae,Pudu,puda,8250,6.76,695,2,NA,5.73,252,1.03,NA
Artiodactyla,Cervidae,Rangifer,tarandus,113200,7.24,5773.67,2.84,26900,23.93,242,1.2,0.91
Artiodactyla,Giraffidae,Giraffa,camelopardalis,8e5,14.89,59770.59,8.25,NA,48.71,434,1.12,0.54
Artiodactyla,Giraffidae,Okapia,johnstoni,287500,14.87,17375,7,77e3,23.86,396,1,0.75
Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,215e3,6.84,5636.25,7.33,NA,48,526,1,0.42
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,1258333.33,7.75,39746.67,10.13,237500,89.93,732,1,0.61
Artiodactyla,Moschidae,Moschus,chrysogaster,11e3,NA,800,NA,NA,21,NA,1,NA
Artiodactyla,Moschidae,Moschus,berezovskii,10900,NA,524,NA,NA,NA,NA,1.71,NA
Artiodactyla,Moschidae,Moschus,moschiferus,12500,5.33,458.75,3.5,NA,15.54,144,1.49,1
Artiodactyla,Suidae,Babyrousa,babyrussa,1e5,5.16,715,7,NA,18,288,1.4,2
Artiodactyla,Suidae,Hylochoerus,meinertzhageni,202500,4.39,1250,2.25,NA,17.5,216,4.7,NA
Artiodactyla,Suidae,Phacochoerus,aethiopicus,71e3,5.53,672.78,3.49,NA,18.55,225,3.53,1.11
Artiodactyla,Suidae,Potamochoerus,porcus,71e3,3.78,762,3,NA,28.24,240,4.33,NA
Artiodactyla,Suidae,Sus,salvanius,8150,3.76,191.5,NA,NA,23,NA,3.2,NA
Artiodactyla,Suidae,Sus,barbatus,102750,4,NA,NA,NA,NA,NA,4,NA
Artiodactyla,Suidae,Sus,scrofa,100900,3.95,1040.31,3.38,8726,9.77,252,5.76,1.36
Artiodactyla,Tayassuidae,Catagonus,wagneri,35300,NA,647,NA,NA,39.17,NA,2.42,NA
Artiodactyla,Tayassuidae,Pecari,tajacu,19200,4.66,657.18,1.7,5220.67,10.64,296,1.82,2
Artiodactyla,Tayassuidae,Tayassu,pecari,33750,5.23,1225,1.63,NA,20,253,2,NA
Artiodactyla,Tragulidae,Hyemoschus,aquaticus,12250,5.86,NA,5.17,NA,13.38,156,1.25,1
Artiodactyla,Tragulidae,Moschiola,meminna,2450,4.94,319,NA,NA,NA,81,1.5,NA
Artiodactyla,Tragulidae,Tragulus,javanicus,3850,4.61,370,2.92,NA,5.2,144,1,NA
Artiodactyla,Tragulidae,Tragulus,napu,5900,5.2,373.67,3,NA,4.5,192,1,NA
Carnivora,Canidae,Alopex,lagopus,4500,1.75,71.04,1.67,NA,9.94,194,8.12,0.92
Carnivora,Canidae,Atelocynus,microtis,9500,NA,NA,NA,NA,NA,132,NA,NA
Carnivora,Canidae,Canis,simensis,12675,2.04,NA,2.5,NA,24,NA,4,NA
Carnivora,Canidae,Canis,aureus,11e3,2.05,207.5,2.28,NA,10.46,192,4.16,NA
Carnivora,Canidae,Canis,rufus,26e3,2.05,NA,NA,NA,NA,168,4.51,NA
Carnivora,Canidae,Canis,lupus,34875,2.16,418.6,1.55,5250,22.04,192,4.82,0.82
Carnivora,Canidae,Canis,mesomelas,9750,2.08,159,2.13,NA,10.8,168,3.95,1
Carnivora,Canidae,Canis,latrans,11800,2.05,249.75,1.74,1517,10.29,262,5.49,1
Carnivora,Canidae,Canis,adustus,8250,2.17,NA,1.5,NA,7.67,144,4.29,2
Carnivora,Canidae,Cerdocyon,thous,6500,1.85,365,3,NA,9.07,138,4.1,1.9
Carnivora,Canidae,Chrysocyon,brachyurus,23e3,2.11,400.17,4.75,NA,24,188,3.09,NA
Carnivora,Canidae,Cuon,alpinus,12760,2.07,273.33,1.64,2350,11.5,186,4.13,NA
Carnivora,Canidae,Lycaon,pictus,27133.33,2.41,332.5,2.88,NA,25.25,204,6.99,0.93
Carnivora,Canidae,Nyctereutes,procyonoides,4232,2.05,87.92,1.73,825,12.22,128,9.46,1
Carnivora,Canidae,Otocyon,megalotis,4150,2.26,120.88,2.06,NA,12,165,3.74,2
Carnivora,Canidae,Pseudalopex,gymnocercus,4690,1.95,NA,NA,NA,10,164,2.5,NA
Carnivora,Canidae,Pseudalopex,griseus,3990,1.85,NA,NA,NA,NA,NA,4.17,NA
Carnivora,Canidae,Pseudalopex,culpaeus,13e3,1.99,NA,2,NA,12,NA,4,1
Carnivora,Canidae,Speothos,venaticus,6e3,2.35,152.43,3.33,NA,11,160,4.26,2
Carnivora,Canidae,Urocyon,cinereoargenteus,4220,2.14,95.33,1.8,519.67,10.5,NA,4.17,0.98
Carnivora,Canidae,Urocyon,littoralis,1890.67,1.7,NA,2,NA,12,NA,2.6,1
Carnivora,Canidae,Vulpes,cana,1e3,1.84,29,1.5,NA,10.5,NA,2,NA
Carnivora,Canidae,Vulpes,chama,4e3,1.72,NA,NA,NA,NA,NA,3.25,NA
Carnivora,Canidae,Vulpes,rueppelli,2250,1.75,NA,NA,NA,12,NA,3.26,NA
Carnivora,Canidae,Vulpes,ferrilata,7e3,NA,NA,NA,NA,NA,NA,3.5,NA
Carnivora,Canidae,Vulpes,pallida,2550,NA,NA,NA,NA,NA,NA,4,NA
Carnivora,Canidae,Vulpes,bengalensis,1800,1.69,58.5,NA,NA,NA,NA,4,NA
Carnivora,Canidae,Vulpes,corsac,2700,1.77,62.5,0.93,NA,16.81,NA,4.71,NA
Carnivora,Canidae,Vulpes,vulpes,5662.5,1.73,101.25,1.81,1236.43,9.76,144,4.34,0.91
Carnivora,Canidae,Vulpes,zerda,1200,1.71,26.28,2.18,NA,9.87,175,2.45,1
Carnivora,Canidae,Vulpes,velox,2766.67,1.71,39.65,1.69,NA,11.01,240,4.44,1
Carnivora,Felidae,Acinonyx,jubatus,58750,3.35,403.96,3.67,1940,25.41,228,3.04,0.65
Carnivora,Felidae,Caracal,caracal,14e3,2.43,165,4.17,NA,16.51,216,3.08,NA
Carnivora,Felidae,Catopuma,temminckii,11500,2.67,250,NA,NA,21,240,1.28,NA
Carnivora,Felidae,Felis,chaus,1e4,2.05,126.62,3,2212.5,15.82,240,3.48,2
Carnivora,Felidae,Felis,margarita,2350,2.2,55.5,NA,NA,9,156,4.5,2
Carnivora,Felidae,Felis,silvestris,4150,2.15,101.87,2.25,630.79,10.24,180,3.69,2.02
Carnivora,Felidae,Felis,nigripes,2125,2.2,70.87,NA,NA,17.04,NA,1.91,2.5
Carnivora,Felidae,Herpailurus,yaguarondi,6750,2.33,NA,NA,NA,26.4,180,2.34,2
Carnivora,Felidae,Leopardus,wiedii,3666.67,2.67,118,1.83,785.1,21.65,252,1.38,NA
Carnivora,Felidae,Leopardus,tigrinus,2250,2.51,NA,1.83,NA,NA,NA,1.5,NA
Carnivora,Felidae,Leopardus,pardalis,8800,2.64,254.4,3.5,3400,21.8,257,1.54,0.75
Carnivora,Felidae,Leptailurus,serval,13350,2.36,253.2,4.2,NA,26.75,237,2.18,2
Carnivora,Felidae,Lynx,pardinus,9400,2.18,NA,NA,NA,NA,156,2.5,NA
Carnivora,Felidae,Lynx,rufus,8600,1.86,301,2.55,1190,17.06,388,2.82,0.94
Carnivora,Felidae,Lynx,lynx,18026.67,2.33,269.5,3.1,1860,16.36,264,2.25,1
Carnivora,Felidae,Lynx,canadensis,8900,2.18,204,5,NA,17.6,321,3.19,1
Carnivora,Felidae,Neofelis,nebulosa,19500,3.06,215.33,4.26,5427.5,26.3,234,2.47,NA
Carnivora,Felidae,Oncifelis,colocolo,2950,NA,NA,NA,NA,NA,NA,2.5,NA
Carnivora,Felidae,Oncifelis,geoffroyi,4e3,2.45,86.18,2.25,NA,NA,252,2.04,1.33
Carnivora,Felidae,Otocolobus,manul,3500,2.37,89,NA,NA,12,NA,4.14,NA
Carnivora,Felidae,Panthera,tigris,119700,3.51,1248.59,5.48,19556,41.12,315,2.57,0.4
Carnivora,Felidae,Panthera,onca,81150,3.39,831.89,4.13,5033.5,35.56,264,2.46,0.5
Carnivora,Felidae,Panthera,leo,139500,3.62,1377.45,7.22,8480,35.98,360,2.9,0.66
Carnivora,Felidae,Panthera,pardus,42325,3.22,363.49,2.88,1940,34.1,276,2.38,0.83
Carnivora,Felidae,Pardofelis,marmorata,3500,NA,85,NA,NA,NA,NA,2,NA
Carnivora,Felidae,Prionailurus,viverrinus,10850,2.29,170,2.92,NA,NA,NA,2.12,NA
Carnivora,Felidae,Prionailurus,rubiginosus,1350,2.23,NA,NA,NA,NA,192,2.13,NA
Carnivora,Felidae,Prionailurus,bengalensis,4150,2.17,93.86,1.47,620,18.52,180,2.64,NA
Carnivora,Felidae,Profelis,aurata,10650,NA,248.33,NA,NA,NA,NA,2,NA
Carnivora,Felidae,Puma,concolor,48e3,3.07,388.22,4.2,3500,26.91,240,2.85,0.47
Carnivora,Felidae,Uncia,uncia,45625,3.28,463.45,2.54,7500,30.11,252,2.22,1
Carnivora,Herpestidae,Atilax,paludinosus,3300,2.49,100.23,1.43,631.85,NA,228,2.42,NA
Carnivora,Herpestidae,Bdeogale,crassicauda,1570,NA,NA,NA,NA,NA,NA,1,NA
Carnivora,Herpestidae,Crossarchus,obscurus,727,2.25,NA,0.75,NA,9,108,4,2.5
Carnivora,Herpestidae,Cynictis,penicillata,598.5,1.84,NA,2,NA,24,182,1.67,2
Carnivora,Herpestidae,Galerella,pulverulenta,683,2,NA,1.92,NA,NA,NA,2.6,NA
Carnivora,Herpestidae,Galerella,sanguinea,448,2,NA,1.73,NA,NA,NA,2.23,2
Carnivora,Herpestidae,Galidia,elegans,800,2.61,50,1.94,183,24.22,293,1,1
Carnivora,Herpestidae,Galidictis,fasciata,NA,NA,NA,NA,NA,NA,NA,1,1
Carnivora,Herpestidae,Helogale,parvula,274.8,1.8,NA,NA,NA,13.5,NA,3.38,2.33
Carnivora,Herpestidae,Herpestes,javanicus,800,1.62,25.92,1.65,275,9.9,NA,2.24,NA
Carnivora,Herpestidae,Herpestes,edwardsii,1008,1.98,NA,NA,NA,NA,NA,2.6,NA
Carnivora,Herpestidae,Herpestes,ichneumon,2920,2.39,NA,2,800,24,NA,2.91,1
Carnivora,Herpestidae,Ichneumia,albicauda,3150,NA,NA,9,NA,NA,121,2.33,NA
Carnivora,Herpestidae,Mungos,mungo,1331.5,2.02,22.1,NA,NA,11.29,144,3.24,1
Carnivora,Herpestidae,Mungotictis,decemlineata,700,3.27,50,1.29,NA,24.39,NA,1,NA
Carnivora,Herpestidae,Paracynictis,selousi,1800,NA,NA,NA,NA,NA,NA,2.5,NA
Carnivora,Herpestidae,Suricata,suricatta,776,2.57,31.33,1.44,212.75,10.8,152,3.63,1
Carnivora,Hyaenidae,Crocuta,crocuta,63e3,3.45,1353.33,10.57,14500,33,493,2,1
Carnivora,Hyaenidae,Hyaena,hyaena,4e4,3.01,669.5,9.17,NA,28.11,282,2.61,NA
Carnivora,Hyaenidae,Parahyaena,brunnea,60200,3.08,727.28,7.67,27400,36,348,2.28,0.4
Carnivora,Hyaenidae,Proteles,cristatus,1e4,2.9,NA,3.52,NA,NA,227,2.77,NA
Carnivora,Mustelidae,Amblonyx,cinereus,3e3,2.07,57,2.67,NA,NA,192,1.42,2
Carnivora,Mustelidae,Aonyx,congicus,24e3,NA,NA,NA,NA,14.2,NA,NA,NA
Carnivora,Mustelidae,Aonyx,capensis,11800,2.1,1050,1.75,3360,12,168,2.56,NA
Carnivora,Mustelidae,Arctonyx,collaris,10500,1.5,58,3.42,NA,NA,NA,3.5,NA
Carnivora,Mustelidae,Conepatus,leuconotus,3500,NA,NA,NA,NA,NA,NA,3,NA
Carnivora,Mustelidae,Conepatus,semistriatus,1200,2,NA,NA,NA,NA,NA,4.5,NA
Carnivora,Mustelidae,Conepatus,mesoleucus,1996.67,1.7,NA,NA,NA,10.5,NA,3.83,1.5
Carnivora,Mustelidae,Eira,barbara,4500,2.19,82.25,2.71,1707.5,NA,216,1.92,NA
Carnivora,Mustelidae,Enhydra,lutris,21800,7.1,1909.17,5.77,12666.67,43.13,240,1,0.83
Carnivora,Mustelidae,Galictis,vittata,2350,1.3,NA,NA,NA,NA,126,2,NA
Carnivora,Mustelidae,Gulo,gulo,16333.33,1.69,90.53,2.6,NA,26.76,208,2.84,0.45
Carnivora,Mustelidae,Ictonyx,libyca,500,1.68,5,1.25,250,NA,NA,2,NA
Carnivora,Mustelidae,Ictonyx,striatus,765,1.2,12.5,2.6,170,9.26,160,2.17,1
Carnivora,Mustelidae,Lontra,longicaudis,7500,1.87,NA,NA,NA,NA,NA,2.5,NA
Carnivora,Mustelidae,Lontra,felina,NA,2.45,NA,NA,NA,NA,NA,3.25,NA
Carnivora,Mustelidae,Lontra,canadensis,6225,2.01,141,4.38,1510,29.97,276,2.72,0.94
